nrot_yrs | ncycles | yr | #events | yr_total | yrly_ave | Low_90.00% | High_90.00% | 
2.0|41.0|82.0|6.0|10.22595|7.29426|6.02037|12.743
2.0|42.0|83.0|8.0|9.04526|NaN|NaN|NaN
2.0|42.0|84.0|1.0|1.47052|7.24578|6.00502|12.43
2.0|43.0|85.0|0.0|0.0|NaN|NaN|NaN
2.0|43.0|86.0|8.0|5.18599|7.13757|5.90615|12.005
2.0|44.0|87.0|6.0|5.42537|NaN|NaN|NaN
2.0|44.0|88.0|0.0|0.0|7.03701|5.81648|11.615
2.0|45.0|89.0|7.0|7.60453|NaN|NaN|NaN
2.0|45.0|90.0|1.0|0.1843|6.96717|5.76808|11.301
2.0|46.0|91.0|3.0|3.33274|NaN|NaN|NaN
2.0|46.0|92.0|6.0|7.41717|6.93256|5.76313|11.091
2.0|47.0|93.0|2.0|1.59819|NaN|NaN|NaN
2.0|47.0|94.0|5.0|3.0229|6.83422|5.67171|10.768
2.0|48.0|95.0|9.0|7.00196|NaN|NaN|NaN
2.0|48.0|96.0|7.0|4.69575|6.81369|5.68072|10.616
2.0|49.0|97.0|10.0|10.72587|NaN|NaN|NaN
2.0|49.0|98.0|13.0|11.00642|6.8964|5.79072|10.724
2.0|50.0|99.0|14.0|20.29626|NaN|NaN|NaN
2.0|50.0|100.0|6.0|8.43628|7.0458|5.95317|10.976
